datetime	lake.number
2013-05-21 11:00:00	NA
2013-05-21 11:10:00	NA
2013-05-21 11:20:00	NA
2013-05-21 11:30:00	NA
2013-05-21 11:40:00	NA
2013-05-21 11:50:00	NA
2013-05-21 12:00:00	NA
2013-05-21 12:10:00	NA
2013-05-21 12:20:00	NA
2013-05-21 12:30:00	NA
2013-05-21 12:40:00	NA
2013-05-21 12:50:00	NA
2013-05-21 13:00:00	NA
2013-05-21 13:10:00	NA
2013-05-21 13:20:00	NA
2013-05-21 13:30:00	NA
2013-05-21 13:40:00	NA
2013-05-21 13:50:00	NA
2013-05-21 14:00:00	NA
2013-05-21 14:10:00	NA
2013-05-21 14:20:00	NA
2013-05-21 14:30:00	NA
2013-05-21 14:40:00	NA
2013-05-21 14:50:00	NA
2013-05-21 15:00:00	NA
2013-05-21 15:10:00	NA
2013-05-21 15:20:00	NA
2013-05-21 15:30:00	NA
2013-05-21 15:40:00	NA
2013-05-21 15:50:00	NA
2013-05-21 16:00:00	NA
2013-05-21 16:10:00	NA
2013-05-21 16:20:00	NA
2013-05-21 16:30:00	NA
2013-05-21 16:40:00	NA
2013-05-21 16:50:00	NA
2013-05-21 17:00:00	NA
2013-05-21 17:10:00	NA
2013-05-21 17:20:00	NA
2013-05-21 17:30:00	NA
2013-05-21 17:40:00	NA
2013-05-21 17:50:00	NA
2013-05-21 18:00:00	NA
2013-05-21 18:10:00	NA
2013-05-21 18:20:00	NA
2013-05-21 18:30:00	NA
2013-05-21 18:40:00	NA
2013-05-21 18:50:00	NA
2013-05-21 19:00:00	NA
2013-05-21 19:10:00	NA
2013-05-21 19:20:00	NA
2013-05-21 19:30:00	NA
2013-05-21 19:40:00	NA
2013-05-21 19:50:00	NA
2013-05-21 20:00:00	NA
2013-05-21 20:10:00	NA
2013-05-21 20:20:00	NA
2013-05-21 20:30:00	NA
2013-05-21 20:40:00	NA
2013-05-21 20:50:00	NA
2013-05-21 21:00:00	NA
2013-05-21 21:10:00	NA
2013-05-21 21:20:00	NA
2013-05-21 21:30:00	NA
2013-05-21 21:40:00	NA
2013-05-21 21:50:00	NA
2013-05-21 22:00:00	NA
2013-05-21 22:10:00	NA
2013-05-21 22:20:00	NA
2013-05-21 22:30:00	NA
2013-05-21 22:40:00	NA
2013-05-21 22:50:00	NA
2013-05-21 23:00:00	NA
2013-05-21 23:10:00	NA
2013-05-21 23:20:00	NA
2013-05-21 23:30:00	NA
2013-05-21 23:40:00	NA
2013-05-21 23:50:00	NA
2013-05-22 00:00:00	NA
2013-05-22 00:10:00	NA
2013-05-22 00:20:00	NA
2013-05-22 00:30:00	NA
2013-05-22 00:40:00	NA
2013-05-22 00:50:00	NA
2013-05-22 01:00:00	NA
2013-05-22 01:10:00	NA
2013-05-22 01:20:00	NA
2013-05-22 01:30:00	NA
2013-05-22 01:40:00	NA
2013-05-22 01:50:00	NA
2013-05-22 02:00:00	NA
2013-05-22 02:10:00	NA
2013-05-22 02:20:00	NA
2013-05-22 02:30:00	NA
2013-05-22 02:40:00	NA
2013-05-22 02:50:00	NA
2013-05-22 03:00:00	NA
2013-05-22 03:10:00	NA
2013-05-22 03:20:00	NA
2013-05-22 03:30:00	NA
2013-05-22 03:40:00	NA
2013-05-22 03:50:00	NA
2013-05-22 04:00:00	NA
2013-05-22 04:10:00	NA
2013-05-22 04:20:00	NA
2013-05-22 04:30:00	NA
2013-05-22 04:40:00	NA
2013-05-22 04:50:00	NA
2013-05-22 05:00:00	NA
2013-05-22 05:10:00	NA
2013-05-22 05:20:00	NA
2013-05-22 05:30:00	NA
2013-05-22 05:40:00	NA
2013-05-22 05:50:00	NA
2013-05-22 06:00:00	NA
2013-05-22 06:10:00	NA
2013-05-22 06:20:00	NA
2013-05-22 06:30:00	NA
2013-05-22 06:40:00	NA
2013-05-22 06:50:00	NA
2013-05-22 07:00:00	NA
2013-05-22 07:10:00	NA
2013-05-22 07:20:00	NA
2013-05-22 07:30:00	NA
2013-05-22 07:40:00	NA
2013-05-22 07:50:00	NA
2013-05-22 08:00:00	NA
2013-05-22 08:10:00	NA
2013-05-22 08:20:00	NA
2013-05-22 08:30:00	NA
2013-05-22 08:40:00	NA
2013-05-22 08:50:00	NA
2013-05-22 09:00:00	NA
2013-05-22 09:10:00	NA
2013-05-22 09:20:00	NA
2013-05-22 09:30:00	NA
2013-05-22 09:40:00	NA
2013-05-22 09:50:00	NA
2013-05-22 10:00:00	NA
2013-05-22 10:10:00	NA
2013-05-22 10:20:00	NA
2013-05-22 10:30:00	NA
2013-05-22 10:40:00	NA
2013-05-22 10:50:00	NA
2013-05-22 11:00:00	NA
2013-05-22 11:10:00	NA
2013-05-22 11:20:00	NA
2013-05-22 11:30:00	NA
2013-05-22 11:40:00	NA
2013-05-22 11:50:00	NA
2013-05-22 12:00:00	NA
2013-05-22 12:10:00	NA
2013-05-22 12:20:00	NA
2013-05-22 12:30:00	NA
2013-05-22 12:40:00	NA
2013-05-22 12:50:00	NA
2013-05-22 13:00:00	NA
2013-05-22 13:10:00	NA
2013-05-22 13:20:00	NA
2013-05-22 13:30:00	NA
2013-05-22 13:40:00	NA
2013-05-22 13:50:00	NA
2013-05-22 14:00:00	NA
2013-05-22 14:10:00	NA
2013-05-22 14:20:00	NA
2013-05-22 14:30:00	NA
2013-05-22 14:40:00	NA
2013-05-22 14:50:00	NA
2013-05-22 15:00:00	NA
2013-05-22 15:10:00	NA
2013-05-22 15:20:00	NA
2013-05-22 15:30:00	NA
